PMB CODE,PMB CONDITION,MEDICINE SUB-CATEGORY,MEDICINE CLASS NAME,PRODUCT NAME,STRENGTH
,,,,Purbac,240 mg/5 mL
,,,,Novatrim,240 mg/5 mL
,,,,Ilvitrim,480 mg
,,,,Nucotrim,480 mg
,,,,Cozole,480 mg
,,,Nitrofurantoin,Cipladantin,100 mg
,,,,Cipladantin,50 mg
35E,Acute rheumatic fever,"Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Segavin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,Aspirin,Acetylsalicylic acid,Soluspirin (was aspirin soluble),300 mg
,,,,Aspirin teva,80 mg
,,,,Coprin,100 mg
,,,,Disprin,300 mg
36G,"Budd-Chiari syndrome, and other venous embolism and thrombosis","Antithrombotic Agents
- Vitamin K antagonists",Warfarin,Cipla-warfarin,5 mg
,,,,Warfarin 5mg austell,5 mg
,,,,Warfarin 5 unicorn,5 mg
,,,,Segavin,5 mg
,,High-Ceiling Diuretics,Furosemide,Furobe,40 mg
36G,"Budd-Chiari syndrome, and other venous embolism and thrombosis",High-Ceiling Diuretics,Furosemide,Mylan furosemide,40 mg
,,,,Lasix oral,50 mg/5 mL
,,"Low-Ceiling Diuretics, Excluding Thiazides",Indapamide,Mylan indapamide,"2,5 mg"
,,,,Cipla-indapamide,"2,5 mg"
,,,,Daptril,"2,5 mg"
,,,,Adco-dapamax,"2,5 mg"
,,Potassium Sparing Agents,Spironolactone,Spiractin,25 mg
,,,,Spironolactone 25mg accord,25 mg
,,,,Aldactone,25 mg
,,,,Spironolactone 25 kiara (was sandoz spironolactone),25 mg
409B,Sympathetic uveitis and degenerative disorders and conditions of globe; sight threatening thyroid optopathy,Systemic Corticosteroids - Prednisolone,Prednisolone,Aspelone,15 mg/5 mL
,,,,Adco prednisolone,15 mg/5 mL
,,,Prednisone,Panafcort,5 mg
,,,,Be-tabs prednisone,5 mg
,,,,Trolic,5 mg
447K,,Calcium Supplements,Calcium carbonate,B-cal,500 mg
,Disorders of parathyroid gland; benign neoplasm of parathyroid gland,Drugs Treating Bone Disorders - Bisphosphonates,Alendronic acid,Ostena,70 mg
,,Vitamin D and analogues,Alfacalcidol,Zodoray,"0,25 mcg"
,,,,Zodoray,1 mcg
,,,Colecalciferol,D-drops (new formulation) 30 ml,500 iu/0.5 mL
,,,Ergocalciferol,Calciferol,50000 u
,,,,Calciferol oily,5000 iu/1 mL
497E,Multiple valvular disease,"Antibacterial Agents, systemic",Amoxicillin,Amyn s,125 mg/5 mL
,,,,Zaloxy,125 mg/5 mL
,,,,Allmox s,125 mg/5 mL
,,,,Betamox s,125 mg/5 mL
,,,,Zoxil s,125 mg/5 mL
,,,,Moxymax s,125 mg/5 mL
,,,,Austell-amoxicillin,250 mg
,,,,Allmox,250 mg
,,,,Moxymax,250 mg
,,,,Betamox,250 mg
497E,Multiple valvular disease,"Antibacterial Agents, systemic",Amoxicillin,Amyn sf,250 mg/5 mL
,,,,Zaloxy,250 mg/5 mL
,,,,Allmox sf,250 mg/5 mL
,,,,Austell-amoxicillin,500 mg
,,,,Allmox,500 mg
,,,,Moxymax,500 mg
